store,city,region,province,size,revenue,units,cost,gross_profit,promo_units,energy_units,regularBars_units,gum_units,bagpegCandy_units,isotonics_units,singleServePotato_units,takeHomePotato_units,kingBars_units,flatWater_units,psd591Ml_units
451,MISSISSAUGA,ONTARIO,ON,881,4350.28,1980.52,2693.34,1656.94,728.87,283.54,152.02,118.37,79.48,137.92,63.62,53.25,79.52,175.75,61.6
452,MISSISSAUGA,ONTARIO,ON,884,4766.71,2183.13,2882.67,1884.04,750.69,343.42,174.29,142.62,65.6,131.08,86.58,37.65,77.42,261.79,64.44
453,MISSISSAUGA,ONTARIO,ON,560,2478.8,1102.69,1523.42,955.38,421.38,207.79,75.98,70.37,41.13,83.85,34.21,17,33.98,103.25,39.67
454,MISSISSAUGA,ONTARIO,ON,887,2441.33,1080.56,1516.95,924.38,416.42,181.33,114.6,64.77,32.27,49.23,33.1,29.42,43.9,94.79,37.15
457,MISSISSAUGA,ONTARIO,ON,379,2367.62,1273.35,1415.84,951.78,404.46,205.71,123.29,147.77,27.42,49.35,60.29,0,38,89.54,59.62
460,MISSISSAUGA,ONTARIO,ON,728,2742.16,1236.58,1676,1066.16,415.85,184.46,124.94,70.4,42.54,75.33,29.62,26.02,41.67,110.56,39.58
466,MISSISSAUGA,ONTARIO,ON,843,3797.34,1678.33,2311.43,1485.91,578.62,280.54,167.96,108.75,42.77,93.1,49.37,38.42,63.87,191.67,37.81
474,MISSISSAUGA,ONTARIO,ON,413,1344.45,652.62,832.84,511.61,302.5,125.96,61.1,36.63,17.13,46.12,31.17,3.58,17.38,71.02,27.96
475,MISSISSAUGA,ONTARIO,ON,763,2549.04,1130.87,1534.46,1014.58,358.12,156.52,100.46,72.12,44.54,69.1,34.85,24.54,34.77,118,29.9
479,MISSISSAUGA,ONTARIO,ON,759,3628.8,1654.98,2180.6,1448.2,518.08,233,121.75,99.29,38.87,109.54,73.1,17.88,55.1,183.85,56.88
480,MISSISSAUGA,ONTARIO,ON,967,4081.75,1780.35,2579.87,1501.88,748.5,311.62,161.25,101.08,76.9,111.56,47.38,52.17,78.67,125.04,55.73
481,MISSISSAUGA,ONTARIO,ON,793,3472.04,1582.44,2109.93,1362.11,542.4,241.29,133.5,102.42,47.73,93.9,49.6,23.9,60.67,154.21,39.88
496,NEPEAN,ONTARIO,ON,905,4153.75,1804.31,2577.45,1576.3,615.37,241.65,156.38,101.56,69.1,132.87,64.83,63.67,105.6,118.5,63.42
501,NEWMARKET,ONTARIO,ON,931,2733.71,1181.71,1704.14,1029.57,457.6,205.06,100.12,70.06,45.87,75.33,33.63,37.06,54.75,102.48,31.81
539,ORLEANS,ONTARIO,ON,841,3002.95,1351.46,1901.28,1101.67,571,235.08,114.35,77.6,45.25,95.6,50.25,35.15,45.4,103.96,60.4
555,OTTAWA,ONTARIO,ON,882,6264.74,2730.42,3889.55,2375.18,897.83,297.02,232.46,96.15,141.12,188,97.33,108.58,117.52,215.92,101.62
558,NEPEAN,ONTARIO,ON,815,3756.79,1659.9,2369.64,1387.15,663.98,330.63,139.54,82.06,54.69,109.92,49.38,40.33,67.27,135.15,80.52
561,OTTAWA,ONTARIO,ON,450,1143.8,583.98,702.59,441.21,247.65,93.12,63.58,40.02,7.15,27.13,25.94,7.75,34.85,49.38,28.29
562,NEPEAN,ONTARIO,ON,776,4465.6,1969.9,2763.15,1702.46,738.52,312.4,194.92,88.58,62.21,151.92,64.77,57.08,93.92,165.08,75.69
568,NEPEAN,ONTARIO,ON,765,4422.01,2005.44,2746.36,1675.65,749.38,261.04,187.67,106.27,83.35,119.62,55.06,46.23,69.88,170.75,95.06
574,OTTAWA,ONTARIO,ON,429,1445.91,726.1,893.79,552.13,323.27,88.65,99.02,67.87,16.37,32.25,25.42,13.13,39.48,62.71,33.4
575,OTTAWA,ONTARIO,ON,426,1750.95,849.29,1077.45,673.5,358.15,102.73,100.77,53.06,29.23,43.92,19.6,13.25,50.58,65.31,55.77
583,GLOUCESTER,ONTARIO,ON,941,3438.12,1550.25,2185.83,1252.28,616.46,241.31,133.12,96.04,67.17,96.31,45.83,45.52,62.38,90.21,56.52
616,PICKERING,ONTARIO,ON,808,3815.41,1708.06,2349.28,1466.13,662.13,268.54,145.54,107.5,67.88,121.81,60.85,33.31,57.13,178.23,49.98
619,PICKERING,ONTARIO,ON,479,870.27,413.54,522.67,347.6,127.48,80.96,30.19,33.81,8.5,29.15,23.1,0,7.23,35.04,19.13
632,PORT HOPE,ONTARIO,ON,962,3275.36,1404.85,2053.21,1222.16,570.33,223.38,116.73,72.77,57.83,89.15,52.13,45.38,59.12,95.5,64.75
